level_0,index,username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,mentioned_users,cleaned_text,document_tone,sentences_tone
1361,5860,DonWilliamson3,"#stayathome
#flattenthecurve

#wherearethetests
#dontagonizeorganize
#teamjoe
#iamdevinnunescow
#truthmatters 
#climatestrike
#dolphinangels #resist",@everywhere,4960,2976,191867,2011-07-29 15:14:15,2020-06-20 03:10:46,810,Trump's Tulsa rally should be called the COVID-19 rally because it will boost the virus more than Trump.,[],[],trump's tulsa rally call rally boost virus trump,{'tones': []},
1362,5861,charlesdhmmr,"bonafied yankee republican. builder, designer.","virginia, usa",183,33,1619,2017-06-11 14:43:38,2020-06-21 03:12:47,0,"@TheReluctantSo1 @andysdad2003 @JesseKellyDC @willchamberlain @RiceUniversity Wow, I just tried to nail down how long the Corona virus lasts in the air, and the numbers are all over the place, depending on source. Lots of experts out there. There is a laughable video showing the ineffectiveness of face masks.",[],"['@TheReluctantSo1', '@andysdad2003', '@JesseKellyDC', '@willchamberlain', '@RiceUniversity']",wow try nail long corona virus last air number place depend source lot expert laughable video show ineffectiveness face mask,"{'tones': [{'score': 0.554447, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}",
1363,5862,AbhiKapkoti,fan of salman khan,india,81,88,6228,2019-07-20 11:01:37,2020-06-21 04:21:45,13,"Wt Dangerous More then Corona Virus..?
Ans is Media Virus.. They hv Responsibility to spread the correct news bt they r not doing that just for money.. Shame on these type of Media Houses..

#PresstitutesCantHarmSALMAN",[],[],"wt dangerous corona virus..?
ans medium virus hv responsibility spread correct news bt money shame type medium houses..

","{'tones': [{'score': 0.665502, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.848841, 'tone_id': 'confident', 'tone_name': 'Confident'}]}","[{'sentence_id': 0, 'text': 'wt dangerous corona virus..?', 'tones': [{'score': 0.590091, 'tone_id': 'fear', 'tone_name': 'Fear'}]}, {'sentence_id': 1, 'text': 'ans medium virus hv responsibility spread correct news bt money shame type medium houses..', 'tones': [{'score': 0.718622, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]"
1364,5863,xxannylynn,black lives matter,canada,561,265,4982,2012-11-12 00:02:59,2020-06-21 03:25:53,638,"Breaking News: Covid Virus extremely confused at #TrumpRallyFail. ""I'm really disappointed,"" said virus, ""we were going to spread it like warm butter tonight."" Virus adds, ""We'll work with what we got.""",['trumprallyfail'],[],break news covid virus extremely confused i'm really disappoint say virus go spread like warm butter tonight virus add we'll work get,"{'tones': [{'score': 0.654326, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}",
1365,5864,kmaria67,n.a,n.a,1037,603,16486,2019-06-28 03:27:23,2020-06-21 02:20:25,1,"Tonight -@realDonaldTrump wowed the folks at his Pitysburg Address by successfully holding a glass of water in one hand. He talked about his difficulties with scaling a ramp, and how he is underappreciated. 
Corona Virus is spreading
#TulsaRally",[],['@realDonaldTrump'],"tonight wow folk pitysburg address successfully hold glass water one hand talk difficulty scale ramp underappreciated 
corona virus spreading
",{'tones': []},"[{'sentence_id': 0, 'text': 'tonight wow folk pitysburg address successfully hold glass water one hand talk difficulty scale ramp underappreciated ', 'tones': []}, {'sentence_id': 1, 'text': 'corona virus spreading', 'tones': []}]"
1366,5865,gobluebrewcrew,n.a,n.a,203,21,972,2010-11-26 17:06:50,2020-06-21 02:19:39,816,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","{'tones': [{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]"
1367,5866,ArvindMishraIND,"proud indian|🚩nationalist |professional|entrepreneur|blogger|political analyst|
ex secular |rt are not endorsement|
blocked by @arvindkejriwal @rahulgandhi",india,938,1413,39935,2010-10-30 07:34:19,2020-06-20 02:00:08,0,"@globaltimesnews Stop watching them, and Stop your business with India. We don't want Chinese virus in India. Get lost viruses.",[],['@globaltimesnews'],stop watch stop business india want chinese virus india get lose virus,"{'tones': [{'score': 0.531314, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}",
1368,5867,LolaTrombley,n.a,n.a,3,0,585,2020-02-01 15:57:52,2020-06-21 03:11:45,0,"So what. Chinese virus isn't going away, when it happens, deal with it",[],[],chinese virus go away happen deal,{'tones': []},
1369,5868,banasemliakazi,n.a,mandsaur,4980,499,27105,2010-04-03 05:50:32,2020-06-21 02:25:53,171,"“Because of the Chinese virus what happened about 3 months ago—it looked like we were in big trouble, and we were and I got it back together.” Trump at Tulsa rally. American media most upset with term 'Chinese virus', calling DT a racist. Also shows the disconnect b/w media &amp; ppl",[],[],“because chinese virus happen month ago—it look like big trouble get back together.” trump tulsa rally american medium upset term chinese virus call dt racist also show disconnect b/w medium amp ppl,"{'tones': [{'score': 0.50589, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': '“because chinese virus happen month ago—it look like big trouble get back together.”', 'tones': [{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'trump tulsa rally american medium upset term chinese virus call dt racist also show disconnect b/w medium amp ppl', 'tones': []}]"
1370,5869,LeahThorpe18,n.a,n.a,1200,672,3908,2012-04-04 21:15:39,2020-06-21 03:59:29,1962,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","{'tones': [{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]"
1371,5870,Speedy_Tomato,n.a,the kitchen closet,2362,829,20256,2010-10-08 05:44:23,2020-06-21 04:15:10,59,"At the #TrumpTulsaRally, Trump said he asked for COVID testing to be slowed, saying “when you do testing to that extent, you’re gonna find more people, you're gonna find more cases” and called the virus, which has killed 120,000 Americans, the “kung flu” https://t.co/bG9k4sLPcO https://t.co/YiLxpZoKAF",['trumptulsarally'],[],trump say ask covid test slow say “when test extent you’re gonna find people gonna find cases” call virus kill american “kung flu”,{'tones': []},
1372,5871,50shadesofKAY__,"forever in my heart, daddy ❤️| saint rose 20' $bigbandsteww",n.a,670,587,27125,2011-04-29 12:54:19,2020-06-21 03:47:36,10487,6 members of Trump's Tulsa advance staff have tested positive for COVID-19. Each may have infected hundreds with the virus already.,[],[],member trump's tulsa advance staff test positive may infect hundred virus already,{'tones': []},
1373,5872,mammasita512,above all nations is humanity. ~goldwin smith~,n.a,1803,290,17710,2014-01-04 03:43:04,2020-06-21 03:29:27,10337,6 members of Trump's Tulsa advance staff have tested positive for COVID-19. Each may have infected hundreds with the virus already.,[],[],member trump's tulsa advance staff test positive may infect hundred virus already,{'tones': []},
1374,5873,TiaCarra,ᔕiᒪiᑕoᑎ ᐯᗩᒪᒪey • ᔕᗩᑎ ᖴᖇᗩᑎᑕiᔕᑕo ᗷᗩy ᗩᖇeᗩ • tᗯitteᖇ • ᖴᗩᑕeᗷook • ᗩᑭᑭᒪe • googᒪe • ᔕtᗩᑎᖴoᖇᗪ • ᑌᑕ ᗷeᖇkeᒪey • ᔕᗩᑎtᗩ ᑕᒪᗩᖇᗩ ᑌᑎiᐯeᖇᔕity • ᑌᑕᔕᖴ,"silicon valley, ca., usa",278,361,18011,2016-11-30 09:00:40,2020-06-21 02:33:09,1263,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","{'tones': [{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]"
1375,5874,BlackVelvetMara,black leftist with liberal tendencies. head of the alphabet mafia's black division. ceo of antifa. (icon maker by lulljevic on picrew),rent free in your head,835,676,22666,2019-02-21 13:19:08,2020-06-21 03:29:24,3112,"At the Trump rally, Brian Clothier, 61, is wearing an adult diaper over his pants that reads “Scientists say [farts] spread the virus. I COVID my ass to stop the spread.” https://t.co/2Ljok0vKKe",[],[],trump rally brian clothier wear adult diaper pant read “scientists say fart spread virus covid as stop spread.”,{'tones': []},
1376,5875,jasminevallarta,i'm not great at the advice. can i interest you with a sarcastic comment?,ucla ‘23,391,399,9820,2014-08-30 19:02:32,2020-06-20 03:07:19,26023,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,"{'tones': [{'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}",
1377,5876,RoseAnneBennet2,"mom, grandma, retired teacher. peaceful liberal. blue dot in a red sea. vote blue no matter who.",n.a,1039,605,24578,2016-05-03 20:07:18,2020-06-21 04:15:05,61,"@LesaRobertson20 Yes, There is a virus out there. It killed my friends son. It killed my cousin's husband. It makes me so mad that people even ask this. COVID IS REAL, AND IT DOES KILL!!!!!!!!!",[],['@LesaRobertson20'],yes virus kill friend son kill cousin's husband make mad people even ask covid real kill,"{'tones': [{'score': 0.60195, 'tone_id': 'anger', 'tone_name': 'Anger'}]}",
1378,5877,tramp_donnie,usa 🇺🇸 deserves better than trump and his racist supporters.,n.a,12,3,711,2020-06-10 20:03:17,2020-06-20 02:01:52,22831,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,"{'tones': [{'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}]}",
1379,5878,Coco1731831,n.a,"montana, usa",124,15,108,2011-01-27 18:00:52,2020-06-21 03:15:58,0,@realDonaldTrump Ignoring Corona Virus and still trailing in the numbers. Smaller crowds than expected. Yeah- you claim victory- hahahahaha,[],['@realDonaldTrump'],ignore corona virus still trail number small crowd expect yeah claim victory hahahahaha,"{'tones': [{'score': 0.505354, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}",
1380,5879,gleennertalk,animal❤️🏒⛳️🎼🃏fuck trump‼️#humanity🙏🏻🌊#resistance🌊#biden2020🌊blm💪🏾❤️💙🖤🌝i follow back/ 🚫magats,on the west side,4310,3873,11358,2011-07-15 16:36:39,2020-06-21 03:56:07,0,"@ejthies15 Can’t believe he actually said that, he also called covid “the China virus”again. What a disgrace!! #sociopath #Genocidetrump https://t.co/QeFB2Yd6GP","['sociopath', 'genocidetrump']",['@ejthies15'],can’t believe actually say also call covid “the china virus”again disgrace,"{'tones': [{'score': 0.91424, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}",
1381,5880,Kathy7420,n.a,"huntsville, al",104,71,3092,2018-08-21 22:43:50,2020-06-20 01:58:01,191,@SidneyPowell1 @GovAbbott @realDonaldTrump @DallasGOP @JudgeClayJ @DallasCountyHe1 @DallasCounty @molmccann @market_raven @GOPbuzz1 I live in a blue state with mandatory masks and guess what—- I STILL GOT COVID. They do NOT work and I feel it made me more vulnerable to the virus by lowering my immune system. It is not healthy breathing in your CO2. This is government control and nothing less.,[],"['@SidneyPowell1', '@GovAbbott', '@realDonaldTrump', '@DallasGOP', '@JudgeClayJ', '@DallasCountyHe1', '@DallasCounty', '@molmccann', '@market_raven', '@GOPbuzz1']",live blue state mandatory mask guess what— still get covid work feel make vulnerable virus lower immune system healthy breathing government control nothing less,"{'tones': [{'score': 0.741891, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}",
1382,5881,gradymcole,like september i fall,"colorado, usa",303,179,2049,2016-06-10 02:57:48,2020-06-21 03:18:20,641,"Breaking News: Covid Virus extremely confused at #TrumpRallyFail. ""I'm really disappointed,"" said virus, ""we were going to spread it like warm butter tonight."" Virus adds, ""We'll work with what we got.""",['trumprallyfail'],[],break news covid virus extremely confused i'm really disappoint say virus go spread like warm butter tonight virus add we'll work get,"{'tones': [{'score': 0.654326, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}",
1383,5882,misswerld,(new account),northern virginia,53,49,2732,2020-04-12 21:25:33,2020-06-20 02:55:12,25296,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,"{'tones': [{'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}]}",
1384,5883,DaveAnderson30,"ny yankee fan, ny ranger fan, pga tour, politics, faith .","troy, ny",268,33,658,2011-11-09 02:39:39,2020-06-20 02:48:42,0,"@JonHeyman @BNightengale Is it not ironic that the players and owner’s have been clashing over money - my friends the virus has no $$$ sign that comes with it.
Even before an agreement there are signs of COVID’19 in Spring training facilities. Will they make it thru the season?",[],"['@JonHeyman', '@BNightengale']","ironic player owner’s clash money friend virus sign come it.
even agreement sign spring training facility make thru season","{'tones': [{'score': 0.563175, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.929579, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': 'ironic player owner’s clash money friend virus sign come it.', 'tones': []}, {'sentence_id': 1, 'text': 'even agreement sign spring training facility make thru season', 'tones': [{'score': 0.544192, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.856622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]"
1385,5884,coachemaccmac,"trump 2020, kag,   followback, coach, global brand specialist , adventure traveller,trainer and martial art expert.#trump #usa #travelbug #heart",n.a,59267,56440,106764,2016-03-01 07:01:21,2020-06-21 02:46:34,1219,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","{'tones': [{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]"
1386,5885,nippontradings,info@nippontradings.com | japanese property | global real estate,n.a,565,209,3270,2012-05-22 07:42:56,2020-06-20 02:00:14,0,"New Podcast! NTI brings you highlights of business/property news from Japan and the APAC region. Listen to the unusual juxtaposition of Japan's advanced technologies and its antiquated office systems, and how the corona virus became the catalyst for change.https://t.co/iP3uZYZl2V https://t.co/skyBeJctH6",[],[],new podcast nti bring highlight business/property news japan apac region listen unusual juxtaposition japan's advance technology antiquate office system corona virus become catalyst change,{'tones': []},
1387,5886,ProphetMencken,“... and the white house will be occupied by a downright fool and a complete narcissistic moron.”              h l mencken-1920,n.a,363,62,2024,2008-10-18 03:04:31,2020-06-21 03:16:10,873,"of epic failure. No American has ever failed this country worse than you. None. Your incompetence, ignorance, ineptitude and old fashioned stupidity have caused economic collapse and made the US the epicenter of Corona virus death and suffering. You have shattered American",[],[],epic failure american ever fail country worse none incompetence ignorance ineptitude old fashion stupidity cause economic collapse make epicenter corona virus death suffering shatter american,"{'tones': [{'score': 0.805321, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}",
1388,5887,sjm967,n.a,n.a,113,82,17228,2011-05-26 20:46:15,2020-06-21 03:14:54,1689,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","{'tones': [{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]"
1389,5888,PatriotMartin45,🇺🇸god bless america🇺🇸#wwg1wga #maga #qanon ////🛡long is the way and hard that out of hell leads up to light /// #darktolight,n.a,113,209,1277,2020-05-13 23:18:15,2020-06-20 03:18:08,0,@QStorm1111 But my favorite is the WUHAN CHINESE VIRUS THAT HAS A 99% SURVIVAL RATE.,[],['@QStorm1111'],favorite wuhan chinese virus survival rate,{'tones': []},
1390,5889,Melindamkpj1313,sports loving housewife from mo,n.a,63,74,20204,2018-02-21 03:26:35,2020-06-20 03:05:44,26029,"Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines. Trump is willing to spread the COVID-19 virus in order to hear some cheers. He is a direct threat to the health of the American people. He must be defeated.",[],[],trump's rally tulsa indoors social distance mask requirements—all violation cdc guideline trump willing spread virus order hear cheer direct threat health american people must defeat,"{'tones': [{'score': 0.642915, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}]}",
1391,5890,PhilDesmond7,concerned citizen father of two beautiful girls. fighter for the voiceless!! 🍀☘️🍀❄️❄️❄️🌊🌊🌊#science #ethics #liberalpugilist,thenorthwest coast #resister,30123,30064,24052,2018-12-31 23:08:46,2020-06-21 03:18:32,0,@jonfavs Duh yeah. Next year if he’s re-elected it’s going to be the best economy ever. He built it before and only he can do it again. The the Chinese virus is gone too btw 😉,[],['@jonfavs'],duh yeah next year he’s re-elected it’s go best economy ever build chinese virus go btw,"{'tones': [{'score': 0.650804, 'tone_id': 'joy', 'tone_name': 'Joy'}]}",
1392,5891,ImperiumKnights,"conservative. pro-life. pro nkri. centrist leaning. aeronautics, aerospace, and military enthusiast. 🇺🇸 🇮🇩 #ifbp #maga #kag2020 #prolife","raleigh, nc",16960,19481,21827,2018-12-09 01:20:18,2020-06-21 04:09:14,0,"@weijia It came from CHINA. Deal with it.
It came from an evil country that is called CHINA.

By the way, I am also Chinese descent so you liberal retards can’t play a race card against me. 

They should call it Wuhan-Virus-1 because there could be Wuhan-virus-2!",[],['@weijia'],"come china deal it.
it come evil country call china.

by way also chinese descent liberal retard can’t play race card 

they call could","{'tones': [{'score': 0.865388, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': 'come china deal it.', 'tones': []}, {'sentence_id': 1, 'text': 'it come evil country call china.', 'tones': []}, {'sentence_id': 2, 'text': 'by way also chinese descent liberal retard can’t play race card ', 'tones': []}, {'sentence_id': 3, 'text': '', 'tones': []}, {'sentence_id': 4, 'text': 'they call could', 'tones': [{'score': 0.994446, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]"
1393,5892,jamey_mayhall,go vols!,38310,121,42,1014,2019-11-18 14:28:40,2020-06-21 02:17:58,835,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","{'tones': [{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]"
1394,5893,hiLiter7,adjunct physics professor (worker),"new jersey, usa",169,123,19924,2019-01-18 01:01:26,2020-06-21 04:07:57,26,"120,000 Americans have died from COVID-19 

At least 84,000 of these deaths could have been prevented if we had acted as quickly as Germany, Australia, South Korea and Singapore to prevent the spread of this deadly virus 

This is the mind of a criminal  

https://t.co/KNQEDt5tgf https://t.co/Nu0ah86zh5",[],[],"american die 

at least death could prevent acted quickly germany australia south korea singapore prevent spread deadly virus 

this mind criminal 

","{'tones': [{'score': 0.676497, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': 'american die ', 'tones': [{'score': 0.818175, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'at least death could prevent acted quickly germany australia south korea singapore prevent spread deadly virus ', 'tones': [{'score': 0.507532, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.565966, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 3, 'text': '', 'tones': []}, {'sentence_id': 4, 'text': 'this mind criminal', 'tones': []}]"
1395,5894,BM101681,n.a,n.a,189,61,5983,2016-06-21 00:02:25,2020-06-21 02:24:29,774,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","{'tones': [{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]"
1396,5895,lanji45711907,n.a,united states,49,48,791,2016-12-17 10:23:26,2020-06-21 02:21:24,806,"Why did the Washington Post all of a sudden remove the daily China Virus death tracker from its front page now that COVID deaths are decreasing nationwide?

I guess it just doesn’t fit their narrative anymore.

🤔",[],[],"washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?

i guess doesn’t fit narrative anymore.

🤔","{'tones': [{'score': 0.630541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}","[{'sentence_id': 0, 'text': 'washington post sudden remove daily china virus death tracker front page covid death decrease nationwide?', 'tones': [{'score': 0.511428, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'i guess doesn’t fit narrative anymore.', 'tones': [{'score': 0.640493, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': '🤔', 'tones': []}]"
1397,5896,johnsondebaufre,"special collections librarian, trinity college. specialist in early modern print and manuscript culture. #blacklivesmatter #abolishthepolice opinions mine","hartford, ct",638,334,3904,2017-01-30 17:26:09,2020-06-21 02:26:40,0,"@RobertKlemko Here, let me fix this for you:

At the Trump rally, Brian Clothier, 61, *surprisingly single*,  is wearing an adult diaper over his pants that reads “Scientists say [farts] spread the virus. I COVID my ass to stop the spread.”",[],['@RobertKlemko'],"let fix you:

at trump rally brian clothier surprisingly single wear adult diaper pant read “scientists say fart spread virus covid as stop spread.”",{'tones': []},"[{'sentence_id': 0, 'text': 'let fix you:', 'tones': [{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': '', 'tones': []}, {'sentence_id': 2, 'text': 'at trump rally brian clothier surprisingly single wear adult diaper pant read “scientists say fart spread virus covid as stop spread.”', 'tones': []}]"
1398,5897,DisneyFreaksRUs,🙇🏽‍♀️🥳🥴❤️ leo 🌹🇵🇷,n.a,180,306,22794,2011-06-15 17:17:15,2020-06-20 03:18:10,0,@shelbyjanexo Corona virus lol,[],['@shelbyjanexo'],corona virus lol,"{'tones': [{'score': 0.617004, 'tone_id': 'joy', 'tone_name': 'Joy'}]}",
